model,Brier_mean,Brier_std,Brier_median,Brier_ci_lower,Brier_ci_upper,BACC_mean,BACC_std,BACC_median,BACC_ci_lower,BACC_ci_upper,MCC_mean,MCC_std,MCC_median,MCC_ci_lower,MCC_ci_upper,SE_mean,SE_std,SE_median,SE_ci_lower,SE_ci_upper,PPV_mean,PPV_std,PPV_median,PPV_ci_lower,PPV_ci_upper,SP_mean,SP_std,SP_median,SP_ci_lower,SP_ci_upper,NPV_mean,NPV_std,NPV_median,NPV_ci_lower,NPV_ci_upper
RF,0.11941216738686507,0.008598555005445934,0.12516554076008501,0.11178808522426202,0.1265920311157033,0.8096181001283698,0.042083242288649125,0.8337612323491657,0.7723908857509628,0.845012836970475,0.6390312558743461,0.07001486271047216,0.658702969519582,0.5777289045623338,0.700333607186358,0.7078947368421054,0.08664251385870698,0.75,0.6236842105263158,0.781578947368421,0.7904761904761906,0.03734377890799555,0.7857142857142857,0.7571428571428571,0.8238095238095239,0.9113414634146342,0.01951067067215619,0.925,0.8921951219512195,0.9264634146341464,0.8698021089123212,0.03234728461026566,0.8809523809523809,0.8415089797294044,0.8980952380952381
LR,0.13361588524344886,0.019192788657781578,0.13756347111630923,0.11654969720830732,0.15000216601638522,0.7917329910141206,0.053527080108204915,0.8196405648267009,0.7420860077021822,0.8322207958921695,0.607448880475437,0.1082923794769765,0.6489327854329603,0.5113695534465489,0.6968278530262573,0.6773684210526316,0.08912626046631342,0.6842105263157895,0.5931578947368421,0.7510526315789473,0.7769423558897244,0.087526142910262,0.7777777777777778,0.711111111111111,0.857201336675021,0.9060975609756097,0.036858734779774166,0.9024390243902439,0.8804878048780488,0.9408536585365853,0.8563489003043616,0.03779455148871415,0.8695652173913043,0.82012987012987,0.8872696056153109
GB,0.1364375984946671,0.020470502235843662,0.1383149705663442,0.11904414609498419,0.15466344507398289,0.797301026957638,0.03560283831616337,0.8196405648267009,0.76716182605905,0.8274326059050064,0.6030150073113674,0.06432316838080217,0.6489327854329603,0.5498546948916593,0.6567489327022575,0.7078947368421054,0.06467476698655006,0.7368421052631579,0.6526315789473685,0.7605263157894736,0.7458032335741315,0.03502697818902255,0.75,0.7147058823529413,0.7769005847953216,0.8867073170731707,0.011926305539900157,0.8780487804878049,0.8768292682926828,0.8970731707317073,0.8659087594198202,0.026156148672394238,0.8780487804878049,0.8436323366555925,0.8879907084785135
SVM_rbf,0.14172290671911245,0.015117664146335443,0.14422510857347065,0.12802345470171392,0.15368950875738188,0.7608023106546855,0.02499844353067341,0.7670089858793325,0.7391912708600771,0.7824133504492939,0.5500667173474136,0.05954791998674858,0.5617437798685708,0.498523954767686,0.5997269145896436,0.6252631578947369,0.03560323057955318,0.631578947368421,0.5936842105263158,0.6568421052631579,0.7458730158730159,0.06227079412904034,0.7333333333333333,0.6966666666666665,0.8087857142857142,0.896341463414634,0.03329960617731904,0.9,0.8702439024390245,0.9268292682926829,0.8347167325428195,0.018006767078097088,0.8409090909090909,0.8190476190476191,0.8493591191417278
SVM_linear,0.13594562437884472,0.019396522599111198,0.14025294049251036,0.11947912609330942,0.15128537882108578,0.7503562259306804,0.06542465964452336,0.7670089858793325,0.6931386392811296,0.807573812580231,0.542740014653776,0.13503730167727565,0.5617437798685708,0.4257492538946349,0.6759349229091258,0.5847368421052631,0.1024411188219104,0.631578947368421,0.4957894736842105,0.6736842105263158,0.7652472527472527,0.09943802665373683,0.75,0.6866517857142856,0.8581043956043957,0.9159756097560976,0.034033786621044754,0.9024390243902439,0.8903658536585366,0.9507317073170732,0.8235177865612648,0.043887758967748304,0.8409090909090909,0.7826086956521741,0.8614624505928854
DT,0.1545684004396138,0.03317426679997332,0.14294880578514094,0.13411306823372085,0.18950773387068728,0.7697015404364571,0.08249617077921548,0.7971758664955071,0.6879525032092427,0.8279396662387676,0.5387185187421284,0.16135318872532242,0.5686531931014617,0.38090116158554954,0.6549578563598906,0.6868421052631579,0.1383519939799465,0.75,0.5473684210526316,0.781578947368421,0.6839435545385202,0.11092824044965968,0.6842105263157895,0.5911927917620138,0.7804347826086957,0.8525609756097561,0.045718534688234065,0.85,0.8139024390243902,0.8915853658536586,0.8545688545688546,0.05497018888915438,0.8809523809523809,0.8,0.8929472329472329
NB,0.14652460363392297,0.012996243071458349,0.1505074000100594,0.13514479058750303,0.15792851723439,0.7232509627727856,0.03017467055895285,0.7125,0.6970571245186136,0.7494448010269575,0.516066726880008,0.05880295095305779,0.5167534774045314,0.46151905890031114,0.5664485353499403,0.5105263157894736,0.06137844099837161,0.5,0.45789473684210524,0.5631578947368421,0.7964590964590965,0.06740501824662927,0.7857142857142857,0.7384615384615385,0.8511599511599511,0.9359756097560975,0.024885221347677455,0.926829268292683,0.9163414634146342,0.9607317073170731,0.8021911447280115,0.019539967103877776,0.7872340425531915,0.7860659157279933,0.8183163737280296
MLP,0.20073310657403706,0.029401710878669052,0.20239561791244912,0.17644475996587244,0.22600993298869812,0.6381996148908857,0.052934574706381285,0.607188703465982,0.6002246469833119,0.6839377406931965,0.33765477731408555,0.14623491799218882,0.3086066999241838,0.23861086122750313,0.48397447912846425,0.41578947368421043,0.1293495339731001,0.47368421052631576,0.3052631578947368,0.5210526315789474,0.6635836385836386,0.1932609183472056,0.625,0.516237026862027,0.8500992063492062,0.860609756097561,0.13506316410713828,0.926829268292683,0.7348750000000001,0.9658536585365853,0.758004075096195,0.02590905870765395,0.7575757575757576,0.7381624664643532,0.7810379040123768
kNN_k5,0.1886580128903158,0.013622813165311142,0.18328762078805183,0.17858710359844027,0.20122130584166262,0.6323299101412067,0.03654666190245491,0.6375,0.597512836970475,0.6610044929396661,0.3328177619830708,0.08358324327606233,0.3478505426185217,0.25856084332575896,0.40342383931232184,0.34368421052631576,0.07068325037557702,0.3684210526315789,0.2736842105263158,0.3963157894736842,0.671962481962482,0.08124579452061538,0.7,0.6019047619047619,0.7420202020202021,0.9209756097560977,0.02495266190428305,0.926829268292683,0.8953658536585365,0.9410975609756097,0.748375613914775,0.02035868031930526,0.7446808510638298,0.7311298557158712,0.7650226047865955
